spec,cluster,members,case_id,passes,fired_passes,fire_rate,status
natural_tight,F12,F1 F2,02de4bafb196,5,5,1.0,unanimous
natural_tight,F12,F1 F2,039ed8d2c4fe,5,5,1.0,unanimous
natural_tight,F12,F1 F2,043aa1b0134c,5,5,1.0,unanimous
natural_tight,F12,F1 F2,04f6f12c9dd1,5,5,1.0,unanimous
natural_tight,F12,F1 F2,0686dccb5baa,5,5,1.0,unanimous
natural_tight,F12,F1 F2,0688cd1db5ca,5,5,1.0,unanimous
natural_tight,F12,F1 F2,06ed3c1819be,5,5,1.0,unanimous
natural_tight,F12,F1 F2,084b592e02b3,5,5,1.0,unanimous
natural_tight,F12,F1 F2,0a81f336c8fb,5,5,1.0,unanimous
natural_tight,F12,F1 F2,0adf2d15eb47,5,5,1.0,unanimous
natural_tight,F12,F1 F2,0bf1eff0c800,5,5,1.0,unanimous
natural_tight,F12,F1 F2,0d63f36e3688,5,5,1.0,unanimous
natural_tight,F12,F1 F2,0d8f07836540,5,5,1.0,unanimous
natural_tight,F12,F1 F2,0f5f4d284afb,5,5,1.0,unanimous
natural_tight,F12,F1 F2,109ca777fa12,5,5,1.0,unanimous
natural_tight,F12,F1 F2,14ab57dc9ec8,5,5,1.0,unanimous
natural_tight,F12,F1 F2,1921370ef769,5,5,1.0,unanimous
natural_tight,F12,F1 F2,1b3433cd4628,5,5,1.0,unanimous
natural_tight,F12,F1 F2,1c36cac6bccc,5,5,1.0,unanimous
natural_tight,F12,F1 F2,1c99d4b10868,5,5,1.0,unanimous
natural_tight,F12,F1 F2,1d3a4f93114f,5,5,1.0,unanimous
natural_tight,F12,F1 F2,1e85a8697898,5,5,1.0,unanimous
natural_tight,F12,F1 F2,1fb5bb36812c,5,5,1.0,unanimous
natural_tight,F12,F1 F2,1fb64399ccd8,5,5,1.0,unanimous
natural_tight,F12,F1 F2,209fa336c13a,5,5,1.0,unanimous
natural_tight,F12,F1 F2,23161751e203,5,5,1.0,unanimous
natural_tight,F12,F1 F2,2440338f40ce,5,5,1.0,unanimous
natural_tight,F12,F1 F2,25b03ee6601d,5,5,1.0,unanimous
natural_tight,F12,F1 F2,2a0d8f20ab72,5,5,1.0,unanimous
natural_tight,F12,F1 F2,2a27a571e7fc,5,5,1.0,unanimous
natural_tight,F12,F1 F2,2aa0f685bafa,5,5,1.0,unanimous
natural_tight,F12,F1 F2,2cabf84d8c88,5,5,1.0,unanimous
natural_tight,F12,F1 F2,2e9adc656f2b,5,5,1.0,unanimous
natural_tight,F12,F1 F2,30b481a7c8e2,5,5,1.0,unanimous
natural_tight,F12,F1 F2,31a19e00325e,5,5,1.0,unanimous
natural_tight,F12,F1 F2,31a2fec2be77,5,5,1.0,unanimous
natural_tight,F12,F1 F2,3257ed9e00aa,5,5,1.0,unanimous
natural_tight,F12,F1 F2,362055c7a5a9,5,5,1.0,unanimous
natural_tight,F12,F1 F2,3885f7d6d282,5,5,1.0,unanimous
natural_tight,F12,F1 F2,3a2203603d61,5,5,1.0,unanimous
natural_tight,F12,F1 F2,3cb443c08221,5,5,1.0,unanimous
natural_tight,F12,F1 F2,408fd2a91abd,5,5,1.0,unanimous
natural_tight,F12,F1 F2,430464d25f28,5,5,1.0,unanimous
natural_tight,F12,F1 F2,43748fb30948,5,5,1.0,unanimous
natural_tight,F12,F1 F2,4463568f621e,5,5,1.0,unanimous
natural_tight,F12,F1 F2,447d40f8ace5,5,5,1.0,unanimous
natural_tight,F12,F1 F2,4707c2930bd5,5,5,1.0,unanimous
natural_tight,F12,F1 F2,472b9b93ad9f,5,5,1.0,unanimous
natural_tight,F12,F1 F2,4bb8afe35408,5,5,1.0,unanimous
natural_tight,F12,F1 F2,4fdfdbf582cb,5,5,1.0,unanimous
natural_tight,F12,F1 F2,4ff4163fd5c7,5,5,1.0,unanimous
natural_tight,F12,F1 F2,5341a4972339,5,5,1.0,unanimous
natural_tight,F12,F1 F2,5478288b68f4,5,5,1.0,unanimous
natural_tight,F12,F1 F2,55157f0433cc,5,5,1.0,unanimous
natural_tight,F12,F1 F2,560a71c4eb88,5,5,1.0,unanimous
natural_tight,F12,F1 F2,57d543f72b94,5,5,1.0,unanimous
natural_tight,F12,F1 F2,5860caa8b811,5,5,1.0,unanimous
natural_tight,F12,F1 F2,5932b68b6a3b,5,5,1.0,unanimous
natural_tight,F12,F1 F2,5cdb0ba3c556,5,5,1.0,unanimous
natural_tight,F12,F1 F2,5d40cd729024,5,5,1.0,unanimous
natural_tight,F12,F1 F2,5e17e32670ea,5,5,1.0,unanimous
natural_tight,F12,F1 F2,5eb14f8b3cdc,5,5,1.0,unanimous
natural_tight,F12,F1 F2,5ebba28b6c1b,5,5,1.0,unanimous
natural_tight,F12,F1 F2,6025e1fa5134,5,5,1.0,unanimous
natural_tight,F12,F1 F2,62126c371107,5,5,1.0,unanimous
natural_tight,F12,F1 F2,624266e9f779,5,5,1.0,unanimous
natural_tight,F12,F1 F2,62e2c124f989,5,5,1.0,unanimous
natural_tight,F12,F1 F2,643832575481,5,5,1.0,unanimous
natural_tight,F12,F1 F2,64cf0bbee592,5,3,0.6,flickering
natural_tight,F12,F1 F2,65008302b1e5,5,5,1.0,unanimous
natural_tight,F12,F1 F2,66604d92cdf6,5,5,1.0,unanimous
natural_tight,F12,F1 F2,688178e946ff,5,5,1.0,unanimous
natural_tight,F12,F1 F2,6980ae227761,5,5,1.0,unanimous
natural_tight,F12,F1 F2,699afdbeba4d,5,5,1.0,unanimous
natural_tight,F12,F1 F2,6a1f6758e7d9,5,5,1.0,unanimous
natural_tight,F12,F1 F2,6bdd73210307,5,5,1.0,unanimous
natural_tight,F12,F1 F2,6d850c9bb9a8,5,5,1.0,unanimous
natural_tight,F12,F1 F2,6df425a01e7e,5,5,1.0,unanimous
natural_tight,F12,F1 F2,6df59e956a95,5,5,1.0,unanimous
natural_tight,F12,F1 F2,6e3fc24135dd,5,5,1.0,unanimous
natural_tight,F12,F1 F2,6e65a2b06b3e,5,5,1.0,unanimous
natural_tight,F12,F1 F2,6ebaa814e4ad,5,5,1.0,unanimous
natural_tight,F12,F1 F2,70d66563e84a,5,5,1.0,unanimous
natural_tight,F12,F1 F2,72eed7e29e02,5,5,1.0,unanimous
natural_tight,F12,F1 F2,7415e35108cc,5,5,1.0,unanimous
natural_tight,F12,F1 F2,754832888538,5,5,1.0,unanimous
natural_tight,F12,F1 F2,760bf1553c4d,5,5,1.0,unanimous
natural_tight,F12,F1 F2,78230d2a0091,5,5,1.0,unanimous
natural_tight,F12,F1 F2,7a02d7111976,5,5,1.0,unanimous
natural_tight,F12,F1 F2,7a7a77e77a46,5,5,1.0,unanimous
natural_tight,F12,F1 F2,7cebf4fe20ee,5,5,1.0,unanimous
natural_tight,F12,F1 F2,7e49e32d201b,5,5,1.0,unanimous
natural_tight,F12,F1 F2,7f427673957c,5,5,1.0,unanimous
natural_tight,F12,F1 F2,7f45c1d942fc,5,5,1.0,unanimous
natural_tight,F12,F1 F2,805f4872bae8,5,5,1.0,unanimous
natural_tight,F12,F1 F2,8078cef39704,5,5,1.0,unanimous
natural_tight,F12,F1 F2,80db6dd984d5,5,5,1.0,unanimous
natural_tight,F12,F1 F2,8132df5e7a12,5,5,1.0,unanimous
natural_tight,F12,F1 F2,81607c6d9629,5,5,1.0,unanimous
natural_tight,F12,F1 F2,81a87f78403c,5,4,0.8,flickering
natural_tight,F12,F1 F2,83b57a05ab3c,5,5,1.0,unanimous
natural_tight,F12,F1 F2,87ecf58e6b0c,5,5,1.0,unanimous
natural_tight,F12,F1 F2,8a4969fb9f3f,5,5,1.0,unanimous
natural_tight,F12,F1 F2,8ba39229aeac,5,5,1.0,unanimous
