spec,case_id,passes,pairwise_jaccard,exact_all,unique_sets,union_size,intersection_size,label_pair_agreement,sets
original,01d3ad510b42,5,0.705,0,3,5,2,0.9,S1 U1 U3 U4 | S1 U1 U4 | H1 S1 U1 U3 | S1 U1 U4 | S1 U1 U4
original,02de4bafb196,5,0.5847402597402598,0,4,12,3,0.7142857142857143,F1 F2 F3 U1 U4 | F1 F2 F3 H1 U1 U3 | F1 F2 F3 J1 J2 J3 J4 J5 U1 U3 U4 | F1 F2 F3 H1 U1 U3 | F1 F2 H1 U1 U3 U4
original,039ed8d2c4fe,5,0.5142893217893219,0,5,12,3,0.6428571428571429,F1 F2 F3 H1 U1 U3 | F1 F2 F3 J1 J2 U1 U3 U4 | F1 F2 H1 J1 J2 J3 J4 J5 U1 | F1 F2 U1 U3 U4 | F1 F2 F3 J1 J2 J3 J4 U1 U3 U4
original,04278d8d1006,5,0.7333333333333333,0,2,3,1,0.9428571428571428,S1 | S1 | S1 | S1 | S1 U1 U4
original,043aa1b0134c,5,0.76,0,4,6,3,0.9,F2 U1 U3 U4 | F1 F2 U1 U3 U4 | F1 F2 U1 U3 U4 | F1 F2 H1 U1 U3 | F1 F2 H1 U1 U3 U4
original,046e6d52bc8e,5,0.46333333333333326,0,3,5,1,0.8571428571428571,S1 | H1 S1 U1 U3 | S1 | S1 U1 U4 | S1 U1 U4
original,04827fb71269,5,0.6166666666666667,0,3,3,1,0.9285714285714286,S1 U1 U4 | S1 | S1 | S1 | S1 U1
original,04f6f12c9dd1,5,0.7690476190476191,0,4,7,4,0.8857142857142857,F1 F2 U1 U3 U4 | F1 F2 F3 H1 U1 U3 | F1 F2 F3 H1 U1 U3 | F1 F2 F3 U1 U3 U4 | F1 F2 F3 H1 U1 U3 U4
original,0686dccb5baa,5,0.7433333333333334,0,4,6,3,0.9,F2 U1 U3 U4 | F1 F2 U1 U3 U4 | F1 F2 U1 U3 U4 | F1 F2 U1 U4 | F2 H1 U1 U3 U4
original,0688cd1db5ca,5,0.8266666666666668,0,3,6,4,0.9285714285714286,F1 F2 U1 U3 U4 | F1 F2 U1 U3 U4 | F1 F2 F3 U1 U3 U4 | F1 F2 F3 U1 U3 U4 | F2 U1 U3 U4
original,06ed3c1819be,5,0.5003030303030302,0,5,12,2,0.6142857142857143,F1 F2 U1 U3 U4 | F2 H1 J1 J2 J3 J4 J5 U1 U3 | F1 F2 H1 U1 U3 | F2 F3 H1 J1 J2 J3 J4 J5 U1 | F1 F2 F3 H1 J1 J2 J3 J4 J5 U1 U3
