target,rank,feature,standardized_coef,approx_raw_coef,odds_ratio_per_raw_unit,feature_support
F1,1,S1,-0.07990693713196417,-0.16783250509718953,0.8454954390017093,514
F2,1,S1,-2.880317776114417,-6.049674348585132,0.0023586299726265523,514
F2,2,F3,1.0474256453786148,2.550165079221973,12.809218143904957,318
F2,3,U3,0.7599250630689812,1.711159962787492,5.535378588276779,1080
F2,4,F1,0.4995837991952581,1.002468216073451,2.724999422186275,800
F2,5,U4,0.15447847429423975,0.3090935760190315,1.3621898328413424,762
F2,6,J4,-0.06442782833321682,-0.30772544155406545,0.7351171229190283,68
F3,1,F1,1.8072050018133992,3.6263497278438006,37.57540551928217,800
F3,2,F2,1.6570979694361407,3.477335007589163,32.3733323280146,964
F3,3,J3,-0.5081038293669331,-2.274012644651257,0.10289845563600046,78
F3,4,J4,0.4925129788910439,2.3523806066611748,10.510561477824467,68
F3,5,S1,-0.396665548434507,-0.8331363342029957,0.4346838324098407,514
F3,6,U4,-0.2821296463126338,-0.5645088202622691,0.568639382317172,762
F3,7,U3,0.1504924447126959,0.3388711053355529,1.4033624476228255,1080
F3,8,H1,-0.10843913531970296,-0.21931484221853215,0.8030688383723925,630
F3,9,U1,0.09339821302029956,0.2983414476279985,1.3476218516159217,1317
F3,10,J2,0.05948640495334796,0.2381030738333543,1.2688399702845783,99
F3,11,J5,-0.026410954424024302,-0.12441915137796954,0.8830096485938982,70
F3,12,J1,0.006136624938246406,0.021530761207793032,1.0217642205554678,132
H1,1,U4,-2.1903652124053257,-4.3826676783491045,0.0124919895218672,762
H1,2,U1,1.5812323275005589,5.050922564441085,156.16647168188547,1317
H1,3,J3,0.6470110888480832,2.895690432215961,18.09599118439453,78
H1,4,U3,0.5066320074076817,1.1408077573353923,3.129295055608186,1080
H1,5,S1,-0.414084267177456,-0.8697217335079964,0.41906814564725076,514
H1,6,J4,-0.3919803056747775,-1.8722082641124758,0.15378369157405647,68
H1,7,J5,0.15094613628868206,0.7110909314105548,2.0362114143982355,70
H1,8,J2,-0.14492322882932965,-0.5800765112832038,0.5598555296616865,99
H1,9,F1,0.141114511576267,0.2831613293101348,1.3273192800486984,800
H1,10,F3,-0.0849044490218051,-0.20671668859866763,0.8132500203556547,318
J1,1,J2,0.8691774890136932,3.4790105739827415,32.42762146553725,99
J1,2,J3,0.37398912601365253,1.673783885031403,5.332306506645398,78
J2,1,J1,0.4916146291997222,1.7248629815368257,5.61175206336963,132
J3,1,J4,0.3527852689101785,1.6850017369463932,5.392460298755839,68
J3,2,J5,0.08066267463757397,0.3799931409201611,1.4622745595418765,70
J4,1,J3,0.5476536579183825,2.4510174319047624,11.600143072874658,78
J5,1,J3,0.329716941031319,1.4756442477419112,4.373852710161574,78
J5,2,J2,0.17064924847520913,0.6830486838322933,1.9799046437654202,99
S1,1,F2,-2.7814413934629934,-5.836711955140187,0.002918422772200834,964
S1,2,F1,-1.0214391873335547,-2.049626752515203,0.12878296253515661,800
S1,3,U3,-0.3798993098827976,-0.855437622147531,0.4250971184566045,1080
S1,4,U4,-0.3172035642503944,-0.6346876770247399,0.5301010251951151,762
S1,5,H1,-0.24446216502169527,-0.4944172691166081,0.6099262266073212,630
S1,6,J5,-0.23632384880114815,-1.113296106083477,0.32847448802966406,70
S1,7,J3,-0.23069578478570374,-1.0324762407794918,0.35612401901393215,78
S1,8,J1,-0.12110341093181289,-0.42489945995741374,0.6538355184762472,132
S1,9,U1,-0.09093569269598283,-0.29047543119564617,0.7479079042893836,1317
S1,10,J4,-0.07709593180365151,-0.3682318692103004,0.6919567196282015,68
U1,1,U4,1.8073709954688477,3.616340507859184,37.20118099152522,762
U1,2,H1,1.6666361720833072,3.3707208014755876,29.099494458767218,630
U1,3,U3,1.085716662601684,2.4447606405720235,11.527789983365784,1080
U1,4,J2,0.5399732856344986,2.1613223928778353,8.68261189419744,99
U1,5,F1,0.39654928534449896,0.7957184666613485,2.2160325705116617,800
U1,6,J3,-0.3588555655100694,-1.6060538150049273,0.2006779659903051,78
U1,7,F3,0.05309596009262759,0.12927262557815053,1.1380003298766728,318
U1,8,J5,0.011030014629330735,0.051961206620370654,1.0533348793009092,70
U3,1,F2,0.7444142483405755,1.5621150792814436,4.768897181303175,964
U3,2,U1,0.6040869036797928,1.9296317938949648,6.886973948817535,1317
U3,3,S1,-0.21861388835317108,-0.45916559748444113,0.6318106099884386,514
U3,4,J1,-0.21238380916846383,-0.7451628746459438,0.4746569840554619,132
U3,5,H1,0.18118672644064607,0.3664446254045572,1.4425965151400892,630
U4,1,H1,-0.7181966495528057,-1.4525308083117188,0.2339773862359434,630
U4,2,U1,0.3475130946417019,1.1100593509487948,3.0345384918297915,1317
