spec,case_id,passes,entropy_bits,normalized_entropy,unique_sets,modal_count,modal_rate,state_counts
original,01d3ad510b42,5,1.3709505944546687,0.5904362833084089,3,3,0.6,S1 U1 U4:3 | S1 U1 U3 U4:1 | H1 S1 U1 U3:1
original,02de4bafb196,5,1.9219280948873623,0.8277293767706428,4,2,0.4,F1 F2 F3 H1 U1 U3:2 | F1 F2 F3 U1 U4:1 | F1 F2 F3 J1 J2 J3 J4 J5 U1 U3 U4:1 | F1 F2 H1 U1 U3 U4:1
original,039ed8d2c4fe,5,2.321928094887362,1.0,5,1,0.2,F1 F2 F3 H1 U1 U3:1 | F1 F2 F3 J1 J2 U1 U3 U4:1 | F1 F2 H1 J1 J2 J3 J4 J5 U1:1 | F1 F2 U1 U3 U4:1 | F1 F2 F3 J1 J2 J3 J4 U1 U3 U4:1
original,04278d8d1006,5,0.7219280948873623,0.31091750708257115,2,4,0.8,S1:4 | S1 U1 U4:1
original,043aa1b0134c,5,1.9219280948873623,0.8277293767706428,4,2,0.4,F1 F2 U1 U3 U4:2 | F2 U1 U3 U4:1 | F1 F2 H1 U1 U3:1 | F1 F2 H1 U1 U3 U4:1
original,046e6d52bc8e,5,1.5219280948873621,0.6554587535412855,3,2,0.4,S1:2 | S1 U1 U4:2 | H1 S1 U1 U3:1
original,04827fb71269,5,1.3709505944546687,0.5904362833084089,3,3,0.6,S1:3 | S1 U1 U4:1 | S1 U1:1
original,04f6f12c9dd1,5,1.9219280948873623,0.8277293767706428,4,2,0.4,F1 F2 F3 H1 U1 U3:2 | F1 F2 U1 U3 U4:1 | F1 F2 F3 U1 U3 U4:1 | F1 F2 F3 H1 U1 U3 U4:1
original,0686dccb5baa,5,1.9219280948873623,0.8277293767706428,4,2,0.4,F1 F2 U1 U3 U4:2 | F2 U1 U3 U4:1 | F1 F2 U1 U4:1 | F2 H1 U1 U3 U4:1
original,0688cd1db5ca,5,1.5219280948873621,0.6554587535412855,3,2,0.4,F1 F2 U1 U3 U4:2 | F1 F2 F3 U1 U3 U4:2 | F2 U1 U3 U4:1
original,06ed3c1819be,5,2.321928094887362,1.0,5,1,0.2,F1 F2 U1 U3 U4:1 | F2 H1 J1 J2 J3 J4 J5 U1 U3:1 | F1 F2 H1 U1 U3:1 | F2 F3 H1 J1 J2 J3 J4 J5 U1:1 | F1 F2 F3 H1 J1 J2 J3 J4 J5 U1 U3:1
original,084b592e02b3,5,1.5219280948873621,0.6554587535412855,3,2,0.4,F2 H1 U1 U3:2 | F2 U1 U3 U4:2 | F2 U1 U3:1
original,088747fa7d04,5,1.9219280948873623,0.8277293767706428,4,2,0.4,S1:2 | H1 S1 U1:1 | S1 U1 U4:1 | H1 S1 U1 U3:1
original,08ad0e53abb1,5,0.9709505944546686,0.4181656600790516,2,3,0.6,H1 S1 U1 U3:3 | H1 J1 S1 U1:2
original,0a81f336c8fb,5,2.321928094887362,1.0,5,1,0.2,F1 F2 F3 H1 U1 U3:1 | F1 F2 U1 U3 U4:1 | F2 H1 U1 U3:1 | F1 F2 H1 U1 U3:1 | F1 F2 F3 J1 U1 U3 U4:1
original,0adf2d15eb47,5,2.321928094887362,1.0,5,1,0.2,F1 F2 U1 U4:1 | F1 F2 U1 U3 U4:1 | F1 F2 F3 H1 U1 U3:1 | F2 H1 U1 U3:1 | F1 F2 F3 U1 U3 U4:1
original,0b6eb6e593c5,5,0.9709505944546686,0.4181656600790516,2,3,0.6,S1 U1 U4:3 | H1 S1 U1 U3:2
original,0bf1eff0c800,5,1.9219280948873623,0.8277293767706428,4,2,0.4,F1 F2 U1 U3 U4:2 | F2 H1 S1 U1 U3:1 | F2 H1 U1 U3:1 | F1 F2 F3 U1 U3 U4:1
original,0d34d4795612,5,1.3709505944546687,0.5904362833084089,3,3,0.6,S1 U1 U4:3 | S1:1 | H1 J1 J3 S1 U1 U4:1
original,0d63f36e3688,5,1.5219280948873621,0.6554587535412855,3,2,0.4,F1 F2 F3 H1 U1 U3:2 | F1 F2 U1 U3 U4:2 | F1 F2 F3 H1 U1 U3 U4:1
original,0d8f07836540,5,1.5219280948873621,0.6554587535412855,3,2,0.4,F2 H1 U1 U3:2 | F2 U1 U3 U4:2 | F1 F2 U1 U3 U4:1
original,0f5f4d284afb,5,1.9219280948873623,0.8277293767706428,4,2,0.4,F1 F2 F3 H1 U1 U3:2 | F1 F2 F3 H1 U1 U3 U4:1 | F1 F2 U1 U3 U4:1 | F1 F2 H1 S1 U1 U3:1
original,109ca777fa12,5,1.3709505944546687,0.5904362833084089,3,3,0.6,F1 F2 U1 U3 U4:3 | F1 F2 F3 U1 U3 U4:1 | F1 F2 F3 H1 U1 U3:1
original,112d585f8fdf,5,2.321928094887362,1.0,5,1,0.2,H1 J1 S1 U1:1 | S1 U1 U3 U4:1 | S1:1 | S1 U1 U4:1 | H1 J1 J2 S1 U1:1
original,134acf006762,5,2.321928094887362,1.0,5,1,0.2,H1 S1 U1 U3:1 | S1:1 | S1 U1 U4:1 | H1 S1 U1:1 | S1 U1 U3 U4:1
original,14ab57dc9ec8,5,1.9219280948873623,0.8277293767706428,4,2,0.4,F2 U1 U3 U4:2 | F2 H1 U1 U3:1 | F2 J1 U1 U3 U4:1 | F1 F2 U1 U4:1
original,14d73efad7ab,5,1.9219280948873623,0.8277293767706428,4,2,0.4,S1 U1 U3 U4:2 | H1 S1 U1 U3:1 | S1:1 | H1 S1 U1:1
original,16ac7d4eada1,5,2.321928094887362,1.0,5,1,0.2,S1 U1 U3 U4:1 | S1 U1:1 | S1:1 | S1 U1 U4:1 | H1 S1 U1 U3:1
original,1921370ef769,5,1.9219280948873623,0.8277293767706428,4,2,0.4,F1 F2 H1 U1 U3:2 | F1 H1 U1 U3:1 | F1 F2 U1 U3 U4:1 | F1 F2 H1 U1 U3 U4:1
original,1b3433cd4628,5,2.321928094887362,1.0,5,1,0.2,F2 H1 U1 U3:1 | F1 F2 H1 U1 U3:1 | F1 F2 U1 U3 U4:1 | F1 F2 H1 U1 U3 U4:1 | F1 F2 U1 U4:1
original,1bce6dff94b8,5,1.5219280948873621,0.6554587535412855,3,2,0.4,S1 U1 U4:2 | H1 S1 U1 U3:2 | S1:1
original,1c36cac6bccc,5,2.321928094887362,1.0,5,1,0.2,F1 F2 F3 H1 U1 U3:1 | F2 H1 U1 U3:1 | F2 J1 U1 U3:1 | F2 H1 U1 U3 U4:1 | F1 F2 H1 U1 U3:1
original,1c99d4b10868,5,1.9219280948873623,0.8277293767706428,4,2,0.4,F1 F2 F3 H1 U1:2 | F1 F2 H1 J1 J2 J3 J4 J5 U1 U3:1 | F1 F2 U1 U3 U4:1 | F1 F2 F3 H1 U1 U3:1
original,1d3a4f93114f,5,0.9709505944546686,0.4181656600790516,2,3,0.6,F1 F2 F3 H1 U1 U3:3 | F2 H1 U1 U3:2
original,1dc1f1d9c3bd,5,0.9709505944546686,0.4181656600790516,2,3,0.6,H1 S1 U1 U3:3 | H1 S1 U1:2
original,1e85a8697898,5,1.9219280948873623,0.8277293767706428,4,2,0.4,F2 U1 U3 U4:2 | F1 F2 H1 U1 U3:1 | F2 H1 U1 U3:1 | F1 F2 F3 H1 U1 U3:1
original,1fb5bb36812c,5,1.5219280948873621,0.6554587535412855,3,2,0.4,F1 F2 H1 U1 U3:2 | F1 F2 U1 U3 U4:2 | F1 H1 U1 U3:1
original,1fb64399ccd8,5,1.9219280948873623,0.8277293767706428,4,2,0.4,F1 F2 H1 J1 J2 J3 J4 J5 U1 U3:2 | F1 F2 H1 J1 J2 J3 J4 J5 U1 U4:1 | F1 F2 F3 J1 J2 J3 J4 J5 U1 U3 U4:1 | F1 F2 H1 J1 J2 J3 J4 J5 U1:1
original,2065ada1a306,5,1.9219280948873623,0.8277293767706428,4,2,0.4,S1:2 | S1 U1 U3 U4:1 | S1 U1:1 | J1 S1 U1:1
original,209fa336c13a,5,1.3709505944546687,0.5904362833084089,3,3,0.6,F1 F2 F3 U1 U3 U4:3 | F1 F2 F3 H1 U1 U3:1 | F1 F2 F3 U1 U4:1
original,21da45ff7758,5,1.3709505944546687,0.5904362833084089,3,3,0.6,H1 S1 U1 U3:3 | S1:1 | S1 U1 U4:1
original,23161751e203,5,1.5219280948873621,0.6554587535412855,3,2,0.4,F1 F2 F3 H1 U1 U3:2 | F1 F2 U1 U3 U4:2 | F1 F2 J1 J2 U1 U4:1
original,2440338f40ce,5,0.7219280948873623,0.31091750708257115,2,4,0.8,F1 F2 U1 U3 U4:4 | F1 F2 H1 U1 U3:1
original,25b03ee6601d,5,1.9219280948873623,0.8277293767706428,4,2,0.4,F1 F2 H1 U1 U3:2 | F2 U1 U3 U4:1 | F1 F2 F3 U1 U3 U4:1 | F1 F2 U1 U3 U4:1
original,2802cf486896,5,1.5219280948873621,0.6554587535412855,3,2,0.4,S1:2 | H1 S1 U1 U3:2 | S1 U1 U3:1
original,2a0d8f20ab72,5,2.321928094887362,1.0,5,1,0.2,F1 F2 F3 U1 U3 U4:1 | F2 U1 U3 U4:1 | F1 F2 U1 U3 U4:1 | F1 F2 U1 U4:1 | F1 F2 F3 H1 U1 U3:1
original,2a27a571e7fc,5,1.3709505944546687,0.5904362833084089,3,3,0.6,F1 F2 U1 U3 U4:3 | F1 F2 F3 H1 U1 U3:1 | F1 F2 H1 U1 U3:1
original,2aa0f685bafa,5,2.321928094887362,1.0,5,1,0.2,F1 F2 U1 U4:1 | F1 F2 H1 J1 J2 J3 J4 J5 U1 U3:1 | F1 F2 U1 U3 U4:1 | F1 F2 H1 U1 U3 U4:1 | F1 F2 H1 U1 U3:1
original,2c0cb0230b61,5,2.321928094887362,1.0,5,1,0.2,S1 U1 U3:1 | H1 S1 U1:1 | S1 U1 U3 U4:1 | H1 S1 U1 U3:1 | S1 U1 U4:1
original,2c7c7c5def5a,5,1.9219280948873623,0.8277293767706428,4,2,0.4,S1 U1 U4:2 | H1 S1 U1 U3:1 | H1 S1 U1:1 | S1 U1:1
original,2cabf84d8c88,5,1.9219280948873623,0.8277293767706428,4,2,0.4,F1 F2 U1 U3 U4:2 | F1 F2 F3 U1 U3 U4:1 | F1 F2 H1 J1 J2 J3 J4 J5 U1 U3:1 | F1 F2 H1 U1:1
original,2e9adc656f2b,5,1.3709505944546687,0.5904362833084089,3,3,0.6,F1 F2 H1 U1 U3 U4:3 | F2 J1 J2 J3 J4 J5 U1 U3 U4:1 | F1 F2 H1 U1 U3:1
original,2fb56e19e29d,5,1.9219280948873623,0.8277293767706428,4,2,0.4,S1:2 | S1 U1 U3 U4:1 | H1 J1 S1 U1:1 | S1 U1 U4:1
original,30b481a7c8e2,5,0.9709505944546686,0.4181656600790516,2,3,0.6,F1 F2 F3 U1 U3 U4:3 | F1 F2 U1 U3 U4:2
